73;Darius Hassanpour / Die Linke;Die Linke;nein;ja;meist;total;gar nicht;total;negativ;divers;WAHR;WAHR;WAHR;WAHR;FALSCH;WAHR;WAHR;FALSCH;WAHR;WAHR;FALSCH
74;Darius Hassanpour / Die Linke;Die Linke;ja;;meist;etwas;gar nicht;total;neutral;weiblich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
75;Sandra Schmull / CDU;Die Linke;nein;nein;etwas;meist;etwas;meist;neutral;weiblich;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH
76;Uwe Schmidt / SPD;SPD;nein;nein;etwas;etwas;total;etwas;positiv;männlich;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR;WAHR;WAHR;FALSCH;FALSCH
77;Micheal Labetzke / Grünen;Die Linke;ja;ja;etwas;total;gar nicht;etwas;neutral;männlich;WAHR;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH
78;Darius Hassanpour / Die Linke;Die Linke;nein;nein;meist;;;etwas;negativ;weiblich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH
79;Uwe Schmidt / SPD;SPD;ja;ja;gar nicht;meist;etwas;total;negativ;männlich;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH
80;Uwe Schmidt / SPD;AFD;nein;ja;gar nicht;etwas;etwas;etwas;negativ;weiblich;FALSCH;WAHR;WAHR;WAHR;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
81;Darius Hassanpour / Die Linke;Die Linke;nein;;etwas;gar nicht;meist;etwas;positiv;weiblich;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH
82;Darius Hassanpour / Die Linke;Die Linke;nein;;;;;;;;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
83;Uwe Schmidt / SPD;Die Linke;nein;ja;gar nicht;meist;meist;meist;positiv;männlich;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
84;Matthias Cornelsen / Volt;Volt;ja;ja;etwas;etwas;meist;total;neutral;weiblich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
85;Uwe Schmidt / SPD;SPD;ja;ja;etwas;meist;gar nicht;etwas;neutral;männlich;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
86;Darius Hassanpour / Die Linke;Die Linke;ja;;etwas;gar nicht;meist;meist;neutral;weiblich;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH
87;Micheal Labetzke / Grünen;Tierschutz Partei;nein;ja;etwas;etwas;total;etwas;neutral;weiblich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
88;Darius Hassanpour / Die Linke;Die Linke;ja;ja;meist;total;meist;total;neutral;männlich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH;FALSCH
89;Sandra Schmull / CDU;FDP;nein;nein;meist;total;total;meist;neutral;weiblich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH
90;Uwe Schmidt / SPD;BSW;ja;ja;meist;etwas;meist;meist;neutral;männlich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH
91;Darius Hassanpour / Die Linke;Die Linke;nein;ja;etwas;gar nicht;total;total;positiv;weiblich;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH
92;Darius Hassanpour / Die Linke;BSW;ja;ja;gar nicht;total;total;meist;negativ;divers;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
93;Darius Hassanpour / Die Linke;Die Linke;nein;nein;etwas;meist;total;etwas;negativ;weiblich;FALSCH;WAHR;WAHR;WAHR;FALSCH;WAHR;WAHR;FALSCH;WAHR;FALSCH;FALSCH
94;Darius Hassanpour / Die Linke;Die Linke;nein;;meist;gar nicht;total;etwas;neutral;männlich;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR
95;Darius Hassanpour / Die Linke;Die Linke;nein;nein;;meist;total;total;neutral;weiblich;FALSCH;WAHR;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
96;Darius Hassanpour / Die Linke;BSW;nein;;;etwas;meist;etwas;neutral;männlich;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;FALSCH
97;Matthias Cornelsen / Volt;Volt;ja;ja;etwas;etwas;meist;meist;negativ;männlich;WAHR;FALSCH;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;WAHR;WAHR;FALSCH
98;Darius Hassanpour / Die Linke;BSW;ja;ja;meist;etwas;meist;etwas;negativ;weiblich;FALSCH;WAHR;WAHR;WAHR;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;FALSCH
